Time,Current (A),Power Output (W)
0,11.96,54.149
0.363,11.97,53.969
0.766,11.95,53.885
1.17,11.97,53.599
1.55,11.98,53.948
1.934,11.96,53.586
2.284,11.92,52.826
2.634,11.89,52.307
3.019,11.91,52.913
3.401,11.91,52.742
3.762,11.91,52.706
4.109,11.9,53.28
4.486,11.87,52.611
4.836,11.85,53.049
5.223,11.82,52.778
5.604,11.8,52.929
5.963,11.79,52.121
6.314,11.76,52.157
6.689,11.76,51.357
7.039,11.73,51.711
7.387,11.68,52.313
7.737,11.64,52.224
8.124,11.63,52.017
8.477,11.63,51.192
8.838,11.6,51.106
9.186,11.57,50.596
9.563,11.54,51.014
9.911,11.52,50.345
10.263,11.51,51.554
10.61,11.51,51.245
10.96,11.49,51.766
11.309,11.48,50.613
11.685,11.45,51.432
12.034,11.44,50.131
12.384,11.41,50.643
12.733,11.37,50.641
13.083,11.34,49.899
13.46,11.32,50.204
13.834,11.28,50.001
14.184,11.23,49.639
14.532,11.22,50.503
14.892,11.22,50.419
15.247,11.2,50.038
15.607,11.19,50.038
15.957,11.18,48.635
16.321,11.17,49.741
16.684,11.19,49.062
17.049,11.15,49.731
17.408,11.14,48.905
17.784,11.12,49.127
18.132,11.12,48.579
18.481,11.1,48.886
18.83,11.1,48.188
19.18,11.08,49.592
19.555,11.07,49.453
19.904,11.06,49.722
20.255,11.06,49.23
20.604,11.07,49.137
20.952,11.05,48.802
21.301,11.05,48.031
21.678,11.03,48.579
22.027,10.99,47.993
22.376,10.97,48.272
22.725,10.94,47.306
23.075,10.92,48.281
23.452,10.92,48.477
23.817,10.9,48.533
24.176,10.9,48.421
24.571,10.89,48.886
24.955,10.88,48.023
25.332,10.88,48.328
25.679,10.86,48.31
26.029,10.84,47.583
26.379,10.82,48.272
26.755,10.84,47.732
27.103,10.83,48.292
27.452,10.84,47.24
27.801,10.83,47.4
28.15,10.79,46.655
28.527,10.77,47.481
28.877,10.75,46.487
29.225,10.74,48.049
29.574,10.73,47.874
29.925,10.72,48.17
30.301,10.72,47.066
30.649,10.71,48.169
31,10.72,47.697
31.347,10.71,46.683
31.698,10.7,47.316
32.047,10.71,47.093
32.397,10.7,47.603
32.755,10.69,46.226
33.112,10.68,46.414
33.471,10.65,47.035
33.821,10.63,47.195
34.171,10.63,46.675
34.545,10.62,47.78
34.895,10.62,46.982
35.244,10.6,47.603
35.594,10.6,47.017
35.942,10.59,46.069
36.292,10.58,46.543
36.642,10.57,46.013
37.017,10.55,46.969
37.366,10.55,46.916
37.716,10.52,47.185
38.064,10.52,46.815
38.441,10.52,47.286
38.791,10.52,46.331
39.14,10.52,45.445
39.488,10.51,45.863
39.838,10.49,45.501
40.188,10.48,45.93
40.546,10.46,45.522
40.93,10.45,46.515
41.29,10.41,45.644
41.666,10.41,47.007
42.053,10.4,46.533
42.434,10.4,46.069
42.793,10.41,45.595
43.143,10.4,44.814
43.544,10.39,45.601
43.894,10.4,45.891
44.244,10.41,45.556
44.594,10.39,45.93
44.969,10.4,46.181
45.318,10.4,45.807
45.668,10.39,46.108
46.017,10.38,44.742
46.42,10.37,45.243
46.769,10.34,44.686
47.117,10.33,45.211
47.467,10.34,44.797
47.815,10.31,45.149
48.191,10.29,45.327
48.541,10.29,45.958
48.891,10.29,45.132
49.24,10.3,46.386
49.589,10.29,45.466
49.938,10.28,45.249
50.315,10.28,45.539
50.663,10.27,45.003
51.015,10.25,45.149
51.4,10.24,45.194
51.755,10.23,44.926
52.115,10.23,44.368
52.464,10.22,44.496
52.815,10.22,45.996
53.173,10.21,44.932
53.556,10.2,44.089
53.916,10.2,44.664
54.319,10.19,43.933
54.667,10.19,44.736
55.016,10.2,44.396
55.391,10.21,43.994
55.742,10.22,46.16
56.091,10.22,46.181
56.44,10.23,44.965
56.789,10.23,46.254
57.138,10.23,45.355
57.516,10.23,44.758
57.862,10.22,45.188
58.213,10.21,45.099
58.561,10.21,45.26
58.912,10.22,44.407
59.287,10.19,45.216
59.637,10.18,43.782
60.038,10.18,44.915
60.408,10.17,45.02
60.765,10.16,43.81
61.112,10.16,44.647
61.474,10.16,45.333
61.839,10.15,44.786
62.202,10.15,44.954
62.591,10.15,45.539
62.939,10.14,44.909
63.288,10.14,43.699
63.639,10.14,44.491
63.987,10.14,43.671
64.336,10.14,44.34
64.697,10.14,43.799
65.051,10.14,44.368
65.412,10.14,44.585
65.76,10.14,45.556
66.111,10.13,44.368
66.485,10.12,43.71
66.835,10.12,44.256
67.184,10.11,43.487
67.533,10.09,44.507
67.883,10.09,43.448
68.232,10.08,45.428
68.608,10.07,44.24
68.958,10.06,45.344
69.308,10.04,44.112
69.709,10.03,44.971
70.06,10.03,44.156
70.409,10.04,45.166
70.795,10.04,43.95
71.151,10.04,43.097
71.509,10.04,43.659
71.858,10,43.085
72.209,10.01,44.061
72.583,10.01,43.332
72.933,10.01,44.887
73.283,10.01,43.822
73.631,10,45.009
73.98,10,43.527
74.33,9.98,44.909
74.707,9.98,43.883
75.076,9.98,43.922
75.458,9.97,43.771
75.807,9.98,43.604
76.156,9.97,43.571
76.506,9.97,43.633
76.856,9.97,44.647
77.204,9.97,43.627
77.58,9.97,43.599
77.93,9.95,43.531
78.278,9.97,42.846
78.628,9.95,44.089
78.977,9.95,43.643
79.327,9.94,44.005
79.675,9.93,43.599
80.052,9.92,43.269
80.402,9.92,43.454
80.751,9.91,42.193
81.1,9.89,43.101
81.449,9.88,42.137
81.825,9.88,42.962
82.175,9.88,42.221
82.524,9.87,43.308
82.873,9.88,43.436
83.222,9.88,43.376
83.572,9.88,43.448
83.949,9.88,43.359
84.312,9.89,43.431
84.673,9.89,43.431
85.032,9.9,42.332
85.386,9.89,43.404
85.747,9.9,42.531
86.096,9.91,43.32
86.446,9.89,42.595
86.806,9.85,42.755
87.19,9.84,42.751
87.548,9.84,43.727
87.898,9.84,43.225
88.273,9.85,42.053
88.622,9.84,42.444
88.972,9.83,41.982
89.322,9.83,42.567
89.669,9.83,42.639
90.046,9.83,42.36
90.396,9.83,43.615
90.744,9.82,43.715
91.094,9.83,42.233
91.443,9.82,43.002
91.791,9.81,43.013
92.151,9.81,42.432
92.534,9.8,42.918
92.894,9.79,43.476
93.253,9.78,43.448
93.635,9.76,42.906
93.996,9.76,43.006
94.371,9.8,42.711
94.719,9.82,42.448
95.068,9.83,42.969
95.417,9.81,41.66
95.767,9.8,42.611
96.126,9.8,41.743
96.509,9.79,43.157
96.868,9.78,41.635
97.217,9.78,41.635
97.595,9.79,41.734
97.996,9.8,41.898
98.362,9.79,43.548
98.723,9.78,41.954
99.07,9.78,43.448
99.421,9.73,43.436
99.798,9.76,42.934
100.199,9.76,41.452
100.565,9.75,42.567
100.923,9.75,41.635
101.274,9.73,43.285
101.623,9.74,42.551
102,9.73,42.069
102.364,9.72,41.926
102.724,9.72,41.93
103.099,9.71,42.376
103.448,9.72,42.312
103.8,9.73,43.157
104.148,9.72,42.484
104.497,9.73,41.412
104.874,9.72,42.595
105.222,9.72,41.551
105.572,9.71,42.193
105.922,9.71,42.288
106.271,9.69,41.858
106.63,9.69,41.958
107.013,9.68,41.217
107.373,9.69,42.316
107.749,9.69,41.567
108.137,9.69,42.137
108.517,9.68,41.105
108.877,9.67,41.161
109.28,9.67,41.942
109.628,9.64,41.381
109.978,9.64,41.846
110.327,9.64,41.926
110.676,9.63,41.496
111.054,9.64,41.511
111.418,9.63,40.867
111.777,9.62,41.623
112.139,9.62,41.037
112.501,9.63,41.468
112.852,9.63,41.44
113.201,9.62,42.806
113.552,9.65,41.747
113.954,9.64,42.783
114.303,9.65,41.811
114.65,9.66,42.806
115.002,9.65,41.691
115.378,9.64,41.08
115.743,9.64,41.79
116.102,9.65,41.775
116.477,9.65,41.87
116.827,9.64,41.827
117.176,9.64,41.775
117.526,9.64,41.914
117.873,9.65,41.759
118.234,9.65,40.925
118.606,9.64,40.811
119.002,9.64,41.551
119.369,9.62,40.854
119.728,9.64,41.328
120.076,9.63,41.242
120.453,9.62,42.543
120.802,9.62,41.576
121.151,9.61,42.332
121.501,9.61,41.381
121.852,9.6,41.443
122.224,9.61,41.663
122.575,9.62,41.635
122.925,9.62,41.396
123.274,9.62,41.607
123.624,9.62,41.97
123.972,9.61,41.551
124.349,9.64,42.209
124.698,9.65,41.616
125.048,9.64,40.895
125.434,9.61,41.037
125.789,9.6,41.567
126.149,9.61,41.611
126.497,9.62,40.994
126.847,9.63,40.616
127.206,9.61,42.081
127.562,9.59,41.009
127.922,9.59,40.882
128.271,9.58,41.536
128.619,9.59,41.607
128.97,9.6,40.978
129.346,9.61,41.133
129.694,9.6,41.734
130.044,9.59,40.814
130.393,9.58,41.483
130.742,9.57,41.942
131.118,9.57,40.814
131.467,9.57,41.288
131.815,9.58,40.771
132.166,9.59,41.846
132.568,9.59,40.547
132.918,9.59,41.707
133.266,9.6,41.034
133.616,9.6,41.424
133.965,9.59,40.644
134.34,9.58,40.492
134.691,9.57,40.981
135.077,9.55,41.049
135.46,9.54,41.186
135.818,9.53,40.619
136.168,9.54,41.118
136.545,9.54,40.114
136.946,9.53,40.854
137.313,9.53,40.591
137.671,9.52,41.4
138.021,9.51,40.717
138.371,9.54,40.241
138.748,9.54,41.245
139.134,9.55,41.273
139.516,9.56,40.814
139.877,9.57,41.344
140.262,9.58,40.826
140.617,9.59,41.102
140.976,9.59,40.923
141.326,9.57,41.775
141.702,9.56,41.217
142.05,9.56,41.164
142.4,9.58,40.978
142.75,9.56,40.659
143.098,9.56,40.421
143.448,9.55,40.492
143.808,9.54,40.783
144.162,9.54,41.006
144.523,9.53,41.316
144.871,9.53,40.755
145.222,9.52,41.455
145.569,9.51,40.631
145.947,9.53,40.854
146.297,9.51,40.575
146.699,9.51,40.284
147.065,9.51,40.715
147.424,9.51,40.213
147.773,9.5,40.324
148.149,9.5,40.839
148.499,9.5,40.743
148.848,9.5,40.854
149.197,9.51,39.724
149.585,9.51,40.269
149.939,9.51,39.795
150.298,9.51,40.254
150.648,9.5,39.878
151.007,9.51,40.522
151.389,9.51,39.807
151.75,9.51,40.966
152.153,9.51,40.727
152.503,9.51,41.189
152.905,9.5,40.768
153.255,9.5,39.934
153.657,9.51,41.316
154.007,9.51,39.863
154.354,9.51,40.324
154.705,9.51,40.727
155.053,9.49,41.049
155.404,9.5,40.727
155.779,9.49,41.217
156.129,9.48,40.601
156.479,9.48,41.288
156.828,9.49,40.129
157.177,9.49,39.878
157.58,9.47,39.878
157.929,9.47,39.599
158.278,9.47,39.642
158.655,9.47,40.284
159.002,9.47,40.616
159.353,9.49,41.4
159.702,9.49,40.783
160.052,9.49,39.904
160.4,9.47,40.352
160.751,9.46,39.642
161.127,9.46,40.101
161.475,9.46,39.389
161.826,9.44,40.479
162.176,9.45,40.449
162.576,9.45,40.631
162.926,9.45,40.421
163.274,9.44,40.033
163.623,9.44,39.934
164,9.45,39.571
164.349,9.41,39.683
164.698,9.41,39.181
165.048,9.41,39.194
165.398,9.41,39.642
165.746,9.42,39.975
166.122,9.41,39.797
166.472,9.41,40.142
166.858,9.41,39.055
167.239,9.41,40.438
167.599,9.42,39.531
167.949,9.42,41.022
168.325,9.42,39.291
168.675,9.4,40.743
169.076,9.39,40.086
169.426,9.38,40.159
169.775,9.4,40.142
170.123,9.4,40.395
170.474,9.4,39.571
170.822,9.39,40.56
171.199,9.37,40.702
171.547,9.38,39.767
171.897,9.39,40.018
172.246,9.4,39.809
172.596,9.41,40.101
